,UTC time,Local time,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other,demand,avg_demand_forecast
30,01/02/2019 06:00:00,2019-01-01 22:00:00,318.62,15,8493,2273,89,2484,0,273,53,25408,25313
31,01/02/2019 07:00:00,2019-01-01 23:00:00,328.98,13,8332,2276,90,1950,0,246,47,23870,24000
32,01/02/2019 08:00:00,2019-01-02 00:00:00,326.78,13,7822,2274,92,1711,0,250,0,22326,22495
33,01/02/2019 09:00:00,2019-01-02 01:00:00,328.18,12,7712,2271,91,1646,0,203,0,21316,22496
34,01/02/2019 10:00:00,2019-01-02 02:00:00,336.35,13,7852,2272,91,1344,0,260,0,20612,21893
35,01/02/2019 11:00:00,2019-01-02 03:00:00,336.08,10,7950,2272,89,1365,0,294,4,20274,21502
36,01/02/2019 12:00:00,2019-01-02 04:00:00,335.55,12,7919,2272,90,1352,0,311,0,20377,21509
37,01/02/2019 13:00:00,2019-01-02 05:00:00,318.69,11,8323,2272,90,2196,0,381,0,21130,22220
38,01/02/2019 14:00:00,2019-01-02 06:00:00,310.66,12,8709,2271,90,2791,0,401,0,22716,24072
39,01/02/2019 15:00:00,2019-01-02 07:00:00,305.94,11,9225,2272,91,3214,146,471,41,24835,26978
40,01/02/2019 16:00:00,2019-01-02 08:00:00,254.97,12,8064,2271,90,2397,3462,450,10,25802,27968
41,01/02/2019 17:00:00,2019-01-02 09:00:00,208.33,11,6842,2274,89,1603,7057,399,0,25319,26972
42,01/02/2019 18:00:00,2019-01-02 10:00:00,195.85,11,6229,2274,89,1146,7879,411,0,24243,25772
43,01/02/2019 19:00:00,2019-01-02 11:00:00,199.06,12,6282,2273,90,1053,7792,350,0,23328,24549
44,01/02/2019 20:00:00,2019-01-02 12:00:00,197.65,11,6185,2271,89,923,7731,500,0,22527,23631
45,01/02/2019 21:00:00,2019-01-02 13:00:00,198.3,14,6160,2271,89,905,7885,300,0,22058,23114
46,01/02/2019 22:00:00,2019-01-02 14:00:00,193.6,14,5914,2272,84,974,7861,296,0,21992,23053
47,01/02/2019 23:00:00,2019-01-02 15:00:00,218.15,15,6826,2269,89,1397,6440,237,0,22591,23292
48,01/03/2019 00:00:00,2019-01-02 16:00:00,288.6,15,8597,2270,90,2285,1949,233,0,23576,24139
49,01/03/2019 01:00:00,2019-01-02 17:00:00,331.45,14,11162,2272,89,3339,80,151,51,25467,25867
50,01/03/2019 02:00:00,2019-01-02 18:00:00,331.25,15,11622,2271,90,3534,55,222,45,27956,29211
51,01/03/2019 03:00:00,2019-01-02 19:00:00,324.58,16,11565,2271,90,3771,57,307,14,28471,30003
52,01/03/2019 04:00:00,2019-01-02 20:00:00,320.78,17,11156,2272,89,3740,45,359,25,28587,29642
53,01/03/2019 05:00:00,2019-01-02 21:00:00,325.65,20,10532,2270,89,3018,0,473,4,28235,28956
54,01/03/2019 06:00:00,2019-01-02 22:00:00,325.38,18,9852,2270,90,2581,0,543,0,26969,27578
55,01/03/2019 07:00:00,2019-01-02 23:00:00,330.8,18,9232,2273,90,1962,0,565,0,25181,25679
56,01/03/2019 08:00:00,2019-01-03 00:00:00,326.96,17,8560,2273,89,1705,0,634,0,23472,23822
57,01/03/2019 09:00:00,2019-01-03 01:00:00,332.67,17,8369,2269,90,1313,0,686,0,22534,22322
58,01/03/2019 10:00:00,2019-01-03 02:00:00,330.18,16,8062,2269,41,1212,0,678,0,21720,21574
59,01/03/2019 11:00:00,2019-01-03 03:00:00,331.12,16,7870,2269,38,1218,0,538,0,21342,21190
60,01/03/2019 12:00:00,2019-01-03 04:00:00,326.99,17,7819,2268,41,1331,0,565,0,21344,21167
61,01/03/2019 13:00:00,2019-01-03 05:00:00,324.36,16,8179,2271,40,1897,0,308,0,21966,21840
62,01/03/2019 14:00:00,2019-01-03 06:00:00,315.24,16,8660,2270,47,2481,0,486,56,23249,23599
63,01/03/2019 15:00:00,2019-01-03 07:00:00,315.88,16,9050,2270,72,2617,158,455,71,25335,26034
64,01/03/2019 16:00:00,2019-01-03 08:00:00,266.65,16,8409,2271,89,1864,3503,470,14,26394,26960
65,01/03/2019 17:00:00,2019-01-03 09:00:00,204.56,14,6418,2272,90,1315,7105,372,0,25987,26439
66,01/03/2019 18:00:00,2019-01-03 10:00:00,187.21,13,5625,2270,91,1064,7868,359,0,25074,25425
67,01/03/2019 19:00:00,2019-01-03 11:00:00,180.81,13,5098,2270,89,835,7842,348,23,24096,24336
68,01/03/2019 20:00:00,2019-01-03 12:00:00,176.96,13,4875,2271,91,799,7786,393,23,23270,23404
69,01/03/2019 21:00:00,2019-01-03 13:00:00,175.62,13,4870,2270,86,788,7850,388,0,22896,22883
70,01/03/2019 22:00:00,2019-01-03 14:00:00,174.57,12,4794,2270,90,886,7695,387,0,23030,22794
71,01/03/2019 23:00:00,2019-01-03 15:00:00,201.69,13,5851,2270,91,1454,6273,335,0,23365,23007
72,01/04/2019 00:00:00,2019-01-03 16:00:00,270.21,12,7926,2269,90,2747,2022,328,46,23736,23596
73,01/04/2019 01:00:00,2019-01-03 17:00:00,316.45,11,10668,2268,90,3678,202,280,51,25301,25016
74,01/04/2019 02:00:00,2019-01-03 18:00:00,317.17,12,11228,2269,87,4108,0,346,71,27880,28209
75,01/04/2019 03:00:00,2019-01-03 19:00:00,317.28,12,10943,2269,82,3860,0,356,27,28357,29097
76,01/04/2019 04:00:00,2019-01-03 20:00:00,322.2,13,10580,2270,39,3254,0,386,0,28135,28726
77,01/04/2019 05:00:00,2019-01-03 21:00:00,331.69,12,10184,2271,41,2550,0,376,0,27605,27982
78,01/04/2019 06:00:00,2019-01-03 22:00:00,336.12,13,9539,2268,42,2058,0,376,34,26453,26706
79,01/04/2019 07:00:00,2019-01-03 23:00:00,332,15,8794,2270,43,1848,0,359,1,24744,24909
80,01/04/2019 08:00:00,2019-01-04 00:00:00,325.75,13,8183,2269,42,1795,0,355,3,23091,23193
81,01/04/2019 09:00:00,2019-01-04 01:00:00,329.72,13,7910,2267,42,1489,0,352,0,22065,21957
82,01/04/2019 10:00:00,2019-01-04 02:00:00,332.57,14,7846,2269,40,1336,0,358,0,21423,21188
83,01/04/2019 11:00:00,2019-01-04 03:00:00,329.36,16,7685,2269,40,1304,0,430,0,21036,20839
84,01/04/2019 12:00:00,2019-01-04 04:00:00,325.88,16,7704,2270,43,1478,0,405,0,21049,20816
85,01/04/2019 13:00:00,2019-01-04 05:00:00,315.74,16,7804,2271,44,2025,0,340,4,21631,21433
86,01/04/2019 14:00:00,2019-01-04 06:00:00,316.86,13,8746,2273,43,2562,0,318,14,22978,22947
87,01/04/2019 15:00:00,2019-01-04 07:00:00,317.48,13,9443,2274,39,2929,150,247,58,25108,25472
88,01/04/2019 16:00:00,2019-01-04 08:00:00,267.59,17,8593,2272,38,2017,3590,249,0,26029,26210
89,01/04/2019 17:00:00,2019-01-04 09:00:00,211.99,14,6756,2273,39,1309,7158,202,67,25656,25389
90,01/04/2019 18:00:00,2019-01-04 10:00:00,199.44,13,6241,2273,42,884,7879,225,0,24899,24481
91,01/04/2019 19:00:00,2019-01-04 11:00:00,192.71,14,5654,2273,39,771,7831,136,29,23870,23584
92,01/04/2019 20:00:00,2019-01-04 12:00:00,184.77,14,5267,2273,43,736,7773,225,0,23087,22738
93,01/04/2019 21:00:00,2019-01-04 13:00:00,183.13,13,5236,2272,38,735,7910,236,12,22409,22247
94,01/04/2019 22:00:00,2019-01-04 14:00:00,190.39,13,5533,2272,37,819,7783,55,0,22454,22343
95,01/04/2019 23:00:00,2019-01-04 15:00:00,199.65,12,5852,2272,37,1661,6362,113,0,22832,22622
96,01/05/2019 00:00:00,2019-01-04 16:00:00,271.89,13,7989,2272,36,2676,2023,193,0,23430,23479
97,01/05/2019 01:00:00,2019-01-04 17:00:00,321.93,13,10666,2270,39,3476,0,234,0,25262,24897
98,01/05/2019 02:00:00,2019-01-04 18:00:00,319.37,14,10892,2271,36,3732,0,250,0,27643,27659
99,01/05/2019 03:00:00,2019-01-04 19:00:00,320.52,15,10512,2270,36,3512,0,243,42,27899,28141
100,01/05/2019 04:00:00,2019-01-04 20:00:00,322.88,15,10580,2271,39,3232,0,373,0,27509,27701
101,01/05/2019 05:00:00,2019-01-04 21:00:00,325.23,14,9838,2270,40,2581,0,485,0,26998,27093
102,01/05/2019 06:00:00,2019-01-04 22:00:00,323.83,13,9178,2271,38,2244,0,521,0,25862,26156
103,01/05/2019 07:00:00,2019-01-04 23:00:00,317.84,13,8559,2270,38,2119,0,584,9,24446,24579
104,01/05/2019 08:00:00,2019-01-05 00:00:00,326.81,15,8679,2270,39,1971,0,444,41,22940,22880
105,01/05/2019 09:00:00,2019-01-05 01:00:00,330.37,16,8389,2270,37,1649,0,410,0,21834,22011
106,01/05/2019 10:00:00,2019-01-05 02:00:00,342.24,15,8421,2271,40,1326,0,277,0,20908,21069
107,01/05/2019 11:00:00,2019-01-05 03:00:00,343.19,16,8222,2272,41,1112,0,361,0,20863,20470
108,01/05/2019 12:00:00,2019-01-05 04:00:00,337.46,14,8111,2269,41,1288,0,351,0,20622,20166
109,01/05/2019 13:00:00,2019-01-05 05:00:00,333.76,14,7974,2271,40,1299,0,422,11,20744,20344
110,01/05/2019 14:00:00,2019-01-05 06:00:00,322.86,12,7845,2272,42,1490,0,575,0,21379,20867
111,01/05/2019 15:00:00,2019-01-05 07:00:00,325.85,12,8374,2272,40,1519,0,750,38,22368,22041
112,01/05/2019 16:00:00,2019-01-05 08:00:00,319.27,12,8760,2272,37,1461,644,738,52,23155,22712
113,01/05/2019 17:00:00,2019-01-05 09:00:00,303.62,12,8850,2271,39,1608,1241,881,54,24151,23527
114,01/05/2019 18:00:00,2019-01-05 10:00:00,287.54,13,8471,2273,52,1268,2058,1102,57,24943,23643
115,01/05/2019 19:00:00,2019-01-05 11:00:00,279.78,13,8581,2271,81,1527,2279,1143,0,24928,23262
116,01/05/2019 20:00:00,2019-01-05 12:00:00,276.92,13,8603,2271,87,1438,2560,1179,0,24885,22728
117,01/05/2019 21:00:00,2019-01-05 13:00:00,291.57,13,8787,2271,85,1285,1549,1498,0,24803,22317
118,01/05/2019 22:00:00,2019-01-05 14:00:00,301.05,11,9029,2274,85,1222,1012,1677,0,24743,22092
119,01/05/2019 23:00:00,2019-01-05 15:00:00,299.73,10,9086,2271,90,1634,548,1808,0,24993,21953
120,01/06/2019 00:00:00,2019-01-05 16:00:00,298.38,11,8795,2269,90,2220,153,1479,0,25126,22112
121,01/06/2019 01:00:00,2019-01-05 17:00:00,283.37,9,8890,2270,90,3096,0,1673,0,25745,23425
122,01/06/2019 02:00:00,2019-01-05 18:00:00,291.64,10,8876,2271,89,2968,0,1333,14,27205,26059
123,01/06/2019 03:00:00,2019-01-05 19:00:00,309.37,13,9055,2270,90,2536,0,962,33,27089,26596
124,01/06/2019 04:00:00,2019-01-05 20:00:00,318.17,12,9333,2272,90,2423,0,755,2,26711,26069
125,01/06/2019 05:00:00,2019-01-05 21:00:00,324.19,11,9311,2273,88,2155,0,736,24,26032,25463
126,01/06/2019 06:00:00,2019-01-05 22:00:00,330.26,10,9153,2272,90,1710,0,780,0,25146,24531
127,01/06/2019 07:00:00,2019-01-05 23:00:00,323.92,14,8611,2273,90,1771,0,765,35,23820,23205
128,01/06/2019 08:00:00,2019-01-06 00:00:00,322.43,11,7787,2271,90,1371,0,727,2,22416,21746
129,01/06/2019 09:00:00,2019-01-06 01:00:00,308.84,10,6768,2269,90,1160,0,866,0,21508,21156
130,01/06/2019 10:00:00,2019-01-06 02:00:00,293.3,11,6207,2271,90,1038,0,1206,0,20679,20354
131,01/06/2019 11:00:00,2019-01-06 03:00:00,286.06,13,5847,2271,90,957,0,1305,0,20084,19893
132,01/06/2019 12:00:00,2019-01-06 04:00:00,280.11,13,5599,2270,90,981,0,1345,15,19785,19570
133,01/06/2019 13:00:00,2019-01-06 05:00:00,265.66,14,5404,2272,90,1098,0,1622,0,19913,19596
134,01/06/2019 14:00:00,2019-01-06 06:00:00,250.73,14,5239,2272,90,1597,0,1639,0,20009,19990
135,01/06/2019 15:00:00,2019-01-06 07:00:00,253.74,13,5375,2270,88,1760,0,1547,37,20603,20904
136,01/06/2019 16:00:00,2019-01-06 08:00:00,202.8,14,4553,2272,89,1734,1938,1599,0,21052,21585
137,01/06/2019 17:00:00,2019-01-06 09:00:00,179.84,16,4321,2269,88,1388,3818,1790,43,21233,21987
138,01/06/2019 18:00:00,2019-01-06 10:00:00,163.19,13,4197,2270,90,984,5705,1771,0,21588,22198
139,01/06/2019 19:00:00,2019-01-06 11:00:00,156.26,13,4045,2269,90,911,5827,2113,0,21833,21990
140,01/06/2019 20:00:00,2019-01-06 12:00:00,172.04,14,4465,2266,90,866,5281,2079,47,21900,21782
141,01/06/2019 21:00:00,2019-01-06 13:00:00,168.65,15,4306,2267,89,864,5145,2172,42,22069,21681
142,01/06/2019 22:00:00,2019-01-06 14:00:00,170.4,11,4610,2268,89,836,5289,2373,0,22259,21596
143,01/06/2019 23:00:00,2019-01-06 15:00:00,176.36,10,4682,2265,90,1420,4211,2272,0,22321,21528
144,01/07/2019 00:00:00,2019-01-06 16:00:00,234.68,11,6430,2263,86,2041,1323,2281,24,22821,21803
145,01/07/2019 01:00:00,2019-01-06 17:00:00,269.46,10,8521,2265,85,3020,0,2323,18,24296,23267
146,01/07/2019 02:00:00,2019-01-06 18:00:00,267.7,11,8569,2266,89,2891,0,2602,16,26734,26563
147,01/07/2019 03:00:00,2019-01-06 19:00:00,263.94,11,8218,2265,88,2659,0,2730,3,27000,27447
148,01/07/2019 04:00:00,2019-01-06 20:00:00,272.84,10,8181,2267,90,2275,0,2515,0,26707,26927
149,01/07/2019 05:00:00,2019-01-06 21:00:00,268.26,11,7780,2267,88,1924,0,2775,0,25978,26066
150,01/07/2019 06:00:00,2019-01-06 22:00:00,254.13,10,7027,2267,91,1879,0,3044,50,24651,24769
151,01/07/2019 07:00:00,2019-01-06 23:00:00,255.65,11,6858,2268,91,1386,0,3170,0,23465,23145
152,01/07/2019 08:00:00,2019-01-07 00:00:00,253.46,11,6082,2267,90,957,0,2943,0,21826,21542
153,01/07/2019 09:00:00,2019-01-07 01:00:00,232.77,11,5215,2266,89,822,0,3216,0,20462,20137
154,01/07/2019 10:00:00,2019-01-07 02:00:00,266.75,10,5873,2268,90,503,0,2621,44,19886,19501
155,01/07/2019 11:00:00,2019-01-07 03:00:00,274.29,10,6213,2268,90,482,0,2522,0,19944,19248
156,01/07/2019 12:00:00,2019-01-07 04:00:00,292.53,11,6515,2267,90,636,0,1839,0,20071,19261
157,01/07/2019 13:00:00,2019-01-07 05:00:00,289.98,13,6787,2268,90,1521,0,1297,0,20357,19927
158,01/07/2019 14:00:00,2019-01-07 06:00:00,306.57,12,8238,2267,90,1939,0,1125,0,21972,21516
159,01/07/2019 15:00:00,2019-01-07 07:00:00,307.56,10,9138,2267,46,2464,64,1028,6,24994,23949
160,01/07/2019 16:00:00,2019-01-07 08:00:00,283.29,13,8367,2269,46,1963,1646,869,0,26136,25419
161,01/07/2019 17:00:00,2019-01-07 09:00:00,246.47,11,7638,2267,46,1760,3929,723,0,25850,25571
162,01/07/2019 18:00:00,2019-01-07 10:00:00,214.18,13,6300,2269,46,1476,5139,771,0,25285,25201
163,01/07/2019 19:00:00,2019-01-07 11:00:00,204.42,12,6209,2268,46,1214,6282,745,0,24494,24784
164,01/07/2019 20:00:00,2019-01-07 12:00:00,205.37,14,6265,2269,47,1158,6419,692,0,22622,24300
165,01/07/2019 21:00:00,2019-01-07 13:00:00,203.37,14,6291,2265,47,1128,6757,660,0,22569,23827
166,01/07/2019 22:00:00,2019-01-07 14:00:00,208,13,6619,2265,50,1115,6965,570,0,22581,23678
167,01/07/2019 23:00:00,2019-01-07 15:00:00,218.04,14,6991,2264,62,1576,5590,951,0,22625,23782
168,01/08/2019 00:00:00,2019-01-07 16:00:00,281.73,13,8682,2263,51,2191,1687,965,4,22931,24195
169,01/08/2019 01:00:00,2019-01-07 17:00:00,308.3,13,11090,2263,51,3281,0,1520,41,23536,25403
170,01/08/2019 02:00:00,2019-01-07 18:00:00,312.31,12,11658,2264,52,3386,0,1523,51,24884,28134
171,01/08/2019 03:00:00,2019-01-07 19:00:00,323.85,12,11417,2263,52,3082,0,1010,69,25048,28799
172,01/08/2019 04:00:00,2019-01-07 20:00:00,330.46,9,11133,2264,76,2758,0,747,0,24863,28296
173,01/08/2019 05:00:00,2019-01-07 21:00:00,329.12,12,10391,2265,87,2188,0,1005,0,24486,27378
174,01/08/2019 06:00:00,2019-01-07 22:00:00,326.15,12,9492,2265,89,1807,0,1119,54,23698,25900
175,01/08/2019 07:00:00,2019-01-07 23:00:00,325.31,11,8540,2266,90,1593,0,867,57,22718,23963
176,01/08/2019 08:00:00,2019-01-08 00:00:00,324.81,13,8091,2264,90,1407,0,802,29,21738,22206
177,01/08/2019 09:00:00,2019-01-08 01:00:00,350.02,11,8699,2264,90,777,0,682,0,21191,20877
178,01/08/2019 10:00:00,2019-01-08 02:00:00,355.79,10,8700,2265,91,708,0,538,0,20719,20045
179,01/08/2019 11:00:00,2019-01-08 03:00:00,346.67,11,8420,2263,90,725,0,739,0,20456,19589
180,01/08/2019 12:00:00,2019-01-08 04:00:00,337.62,12,8245,2264,90,796,0,929,0,20206,19518
181,01/08/2019 13:00:00,2019-01-08 05:00:00,335.57,12,8742,2266,90,1115,0,935,0,20654,20099
182,01/08/2019 14:00:00,2019-01-08 06:00:00,341.12,13,9783,2266,87,1514,0,803,4,22125,21588
183,01/08/2019 15:00:00,2019-01-08 07:00:00,346.22,12,11074,2263,88,1929,133,685,65,24070,24193
184,01/08/2019 16:00:00,2019-01-08 08:00:00,313.94,12,10658,2264,82,1791,2108,463,0,24685,25824
185,01/08/2019 17:00:00,2019-01-08 09:00:00,280.45,12,9403,2265,88,1114,4268,411,0,24326,25770
186,01/08/2019 18:00:00,2019-01-08 10:00:00,255.73,14,8596,2265,88,922,5610,443,0,24035,25676
187,01/08/2019 19:00:00,2019-01-08 11:00:00,253.2,13,8672,2264,90,853,5965,467,0,24596,25380
188,01/08/2019 20:00:00,2019-01-08 12:00:00,260.59,13,8909,2265,92,630,5866,468,15,24283,25176
189,01/08/2019 21:00:00,2019-01-08 13:00:00,261.69,12,8807,2263,90,649,5731,364,0,24155,25085
190,01/08/2019 22:00:00,2019-01-08 14:00:00,254.8,14,8282,2262,91,1030,5232,440,0,24030,25070
191,01/08/2019 23:00:00,2019-01-08 15:00:00,282.25,12,9055,2262,90,1161,3678,505,0,24095,25084
192,01/09/2019 00:00:00,2019-01-08 16:00:00,338.13,12,10761,2260,91,1751,967,299,0,24659,25484
193,01/09/2019 01:00:00,2019-01-08 17:00:00,347.32,13,11944,2261,91,2848,0,199,23,25594,26366
194,01/09/2019 02:00:00,2019-01-08 18:00:00,340.49,13,12178,2263,91,3022,0,477,5,27439,28454
195,01/09/2019 03:00:00,2019-01-08 19:00:00,343.52,11,11728,2262,91,2793,0,342,14,27640,29047
196,01/09/2019 04:00:00,2019-01-08 20:00:00,344.06,11,11341,2262,88,2487,0,422,1,27131,28496
197,01/09/2019 05:00:00,2019-01-08 21:00:00,347.72,13,10945,2263,90,2163,0,388,0,26352,27578
198,01/09/2019 06:00:00,2019-01-08 22:00:00,341.7,13,9717,2262,87,1726,0,558,13,25119,26087
199,01/09/2019 07:00:00,2019-01-08 23:00:00,330.09,12,8594,2269,87,1601,0,615,0,23403,24200
200,01/09/2019 08:00:00,2019-01-09 00:00:00,346.04,12,8750,2267,85,1009,0,686,59,21934,22352
201,01/09/2019 09:00:00,2019-01-09 01:00:00,343.7,12,8587,2263,88,717,0,929,0,21285,20884
202,01/09/2019 10:00:00,2019-01-09 02:00:00,337.23,13,8235,2264,88,709,0,1022,0,20625,20092
203,01/09/2019 11:00:00,2019-01-09 03:00:00,337.53,13,8113,2263,86,735,0,928,0,20162,19607
204,01/09/2019 12:00:00,2019-01-09 04:00:00,345.15,12,8446,2261,84,963,0,575,0,20097,19477
205,01/09/2019 13:00:00,2019-01-09 05:00:00,326.07,13,7882,2262,84,1576,0,442,0,20677,20025
206,01/09/2019 14:00:00,2019-01-09 06:00:00,312.78,13,8454,2261,86,2182,0,741,0,21844,21528
207,01/09/2019 15:00:00,2019-01-09 07:00:00,325.25,9,9644,2261,54,2305,57,663,43,23902,24129
208,01/09/2019 16:00:00,2019-01-09 08:00:00,282.48,11,8904,2262,84,1877,2556,679,9,25194,25732
209,01/09/2019 17:00:00,2019-01-09 09:00:00,246.61,13,7805,2262,90,1382,4966,441,0,24946,25639
210,01/09/2019 18:00:00,2019-01-09 10:00:00,233.59,12,7482,2262,90,1304,5657,563,8,24637,25360
211,01/09/2019 19:00:00,2019-01-09 11:00:00,232.72,13,7341,2262,90,1199,5812,421,0,24204,25011
212,01/09/2019 20:00:00,2019-01-09 12:00:00,240.98,14,7594,2262,91,930,5836,413,48,23725,24656
213,01/09/2019 21:00:00,2019-01-09 13:00:00,239.25,13,7629,2262,91,988,5728,519,0,23682,24493
214,01/09/2019 22:00:00,2019-01-09 14:00:00,233.2,12,7372,2261,90,1440,5352,583,1,23999,24456
215,01/09/2019 23:00:00,2019-01-09 15:00:00,251.29,12,7657,2261,90,1658,3443,1009,0,24282,24542
216,01/10/2019 00:00:00,2019-01-09 16:00:00,253.96,12,7747,2261,91,2007,1164,2550,0,24789,24948
217,01/10/2019 01:00:00,2019-01-09 17:00:00,266.08,14,8664,2261,91,3086,0,2623,18,25480,25930
218,01/10/2019 02:00:00,2019-01-09 18:00:00,298.32,13,10087,2260,91,3154,0,1601,0,27505,28267
219,01/10/2019 03:00:00,2019-01-09 19:00:00,313.81,11,10523,2259,91,3048,0,1104,24,27838,28799
220,01/10/2019 04:00:00,2019-01-09 20:00:00,317.73,13,10227,2259,89,2719,0,1021,12,27280,28098
221,01/10/2019 05:00:00,2019-01-09 21:00:00,317.74,13,9543,2260,90,2291,0,1035,3,26557,27182
222,01/10/2019 06:00:00,2019-01-09 22:00:00,324.94,14,9013,2259,91,1713,0,1010,41,25503,25711
223,01/10/2019 07:00:00,2019-01-09 23:00:00,325.83,13,8505,2264,90,1413,0,971,29,24021,23921
224,01/10/2019 08:00:00,2019-01-10 00:00:00,304.75,13,7598,2263,90,1158,0,1597,29,22495,22161
225,01/10/2019 09:00:00,2019-01-10 01:00:00,302.26,11,7498,2260,90,943,0,1807,0,21478,20808
226,01/10/2019 10:00:00,2019-01-10 02:00:00,303.59,13,7245,2262,90,902,0,1633,3,20838,20046
227,01/10/2019 11:00:00,2019-01-10 03:00:00,318.71,12,7453,2261,88,867,0,1179,0,20370,19581
228,01/10/2019 12:00:00,2019-01-10 04:00:00,302.76,11,7160,2261,91,1061,0,1456,0,20284,19513
229,01/10/2019 13:00:00,2019-01-10 05:00:00,297.99,11,7465,2261,90,1289,0,1641,0,20593,20097
230,01/10/2019 14:00:00,2019-01-10 06:00:00,302.61,12,8301,2261,91,1739,0,1549,0,21525,21670
231,01/10/2019 15:00:00,2019-01-10 07:00:00,308.61,12,9337,2262,90,2191,32,1488,39,22982,24252
232,01/10/2019 16:00:00,2019-01-10 08:00:00,264.03,13,8179,2264,90,1709,2659,1292,0,23471,25600
233,01/10/2019 17:00:00,2019-01-10 09:00:00,223.04,13,6905,2262,90,1399,5352,853,0,23441,25314
234,01/10/2019 18:00:00,2019-01-10 10:00:00,197.91,13,5787,2263,90,1221,6533,573,0,23071,24786
235,01/10/2019 19:00:00,2019-01-10 11:00:00,197.52,13,5811,2263,91,1303,6757,512,46,22486,24307
236,01/10/2019 20:00:00,2019-01-10 12:00:00,195.05,12,5838,2263,91,1122,7091,547,0,22956,23792
237,01/10/2019 21:00:00,2019-01-10 13:00:00,198.47,12,6218,2263,91,1315,7320,461,0,23038,23417
238,01/10/2019 22:00:00,2019-01-10 14:00:00,200.76,12,6315,2262,91,1458,7115,432,0,23008,23387
239,01/10/2019 23:00:00,2019-01-10 15:00:00,217.97,14,6799,2263,91,1806,5721,441,0,23328,23570
240,01/11/2019 00:00:00,2019-01-10 16:00:00,279.36,14,8062,2260,91,2108,1984,492,0,23871,23996
